category,model,model_name,manufacturer,weight,price
Motors,"  AM Racing AMR Dual Stack 250-90
AC Motor - Liquid Cooled,
Permanent Magnet - Remy
This AM Racing motor is based
on the very proven R ...
"," : AMR 250-
90D
"," : AM Racing
",: 180.00,: 180.00
Motors,"  Curtis 1236SE-5621 HPEVS AC-20
Brushless AC Motor Kit - 48 V olt
The AC20 is an AC induction
motor that operates at ...
"," : AC20/48
"," : HPEVS
",: 60.00,: 60.00
Motors,"  Curtis 1236SE-5621 HPEVS AC-34
Brushless AC Motor Kit - 48 V olts
The AC-34 is an AC motor that
operates at 36-60V. ...
"," : AC-34-48
"," : HPEVS
",: 85.00,: 85.00
Motors,"  Curtis 1236SE-5621 HPEVS AC-9
Brushless AC Motor Kit - 48 V olt
The AC-9 is an AC motor that
operates at 36-60V. I ...
"," : Motor
"," : HPEVS
",: 50.00,: 50.00
Motors,"  Curtis 1238-6501 HPEVS AC-20
Brushless AC Motor Kit - 72 V olt
The AC-20 is an AC motor that
operates at 48-80V. ...
"," : Motor
"," : HPEVS
",: 60.00,: 60.00
Motors,"  Curtis 1238-6501 HPEVS AC-34
Brushless AC Motor Kit - 72 V olt
The AC-34 is an AC motor that
operates at 48-80V. ...
"," : Motor
"," : HPEVS
",: 85.00,: 85.00
Motors,"  Curtis 1238-7601 HPEVS AC-20
Brushless AC Motor Kit - 96 V olt
The AC20 is an AC induction
motor that operates at ...
"," : Motor
"," : HPEVS
",: 60.00,: 60.00
Motors,"  Curtis 1238-7601 HPEVS AC-23
Brushless AC Motor Kit - 96 V olt
The AC 23 motor is same size as
its sister motor t ...
"," : Motor
"," : HPEVS
",: 60.00,: 60.00
Motors,"  Curtis 1238-7601 HPEVS AC-34
Brushless AC Motor Kit - 96 V olt
The AC-34 is an AC motor that
operates at 72-128V. ...
"," : AC-34-96
"," : HPEVS
",: 120.00,: 120.00
Motors,"  Curtis 1238-7601 HPEVS AC-50
Brushless AC Motor Kit - 96 V olt
The AC50 is an AC motor that
operates at 72-108V. ...
"," : AC-50-96
"," : HPEVS
",: 150.00,: 150.00
Motors,"  Curtis 1238e-7621 HPEVS Dual AC-
34 Brushless Motor Kit - 96 V olt
This is a great dual motor setup
for vehicles up t ...
"," : AC2-34
"," : HPEVS
",: 160.00,: 160.00
Motors,"  Curtis 1239e-8521 HPEVS AC-35
Brushless AC Motor Kit - 144 V olt
The AC35 is an AC motor that
operates at 120-164V. ...
"," : AC-35-144
"," : HPEVS
",: 120.00,: 120.00
Motors,"  Curtis 1239e-8521 HPEVS AC-51
Brushless AC Motor Kit - 144 V olt
The AC51 is an AC motor that
operates at a higher ...
"," : AC-51-144
"," : HPEVS
",: 150.00,: 150.00
Motors,"  Curtis 1239e-8521 HPEVS Dual AC-
35 Brushless Motor Kit - 144 V olt
This is a great dual motor setup
for vehicles up t ...
"," : AC2-35-144
"," : HPEVS
",: 160.00,: 160.00
Motors,"  NetGain HyPer9 AC Motor X1
Controller Kit 120 V olt
The long awaited AC motor from
NetGain is here. T ...
"," : H9-ACX1
"," : NetGain
Motors
",: 120.00,: 120.00
Motors,"  NetGain HyPer9 HV AC Motor X144
Controller Kit 144 V olt
The long awaited higher voltage
AC motor from Net ...
"," : H9HV -
ACX144
"," : NetGain
Motors
",: 120.00,: 120.00
Motors,"  Tesla Dual Motor All Wheel Drive
Kit - EV Controls T2-C Controller
We now have the Tesla "," S
dual drive unit for ...
"," : Tesla
",: 550.00,: 550.00
Motors,"  Tesla Front Motor Kit - EV Controls
T2-C Controller
We now have the Tesla "," S
front drive unit for ...
"," : Tesla
",: 230.00,: 230.00
Motors,  Tesla ," 3 Rear Drive Unit -
Starter Kit - EV Controls T2-C
Controller
With such a small total package,
this drive unit s ...
"," : Tesla
",: 225.00,: 225.00
Motors,  Tesla ," S Drive Unit - Starter
Kit - EV Controls T2-C Controller
We now have the Tesla "," : Tesla
",: 295.00,: 295.00
Motors,"  Tesla Small Rear Drive Unit -
Starter Kit - EV Controls T2-C
Controller
With such a small total package,
this drive unit s ...
"," : TSLA-MS-
SDU
"," : Tesla
",: 225.00,: 225.00
Services,"  EV101 T raining Class - Hosted by
the Electric V ehicle T raining Center
About this event: Who: Open to
the public with pr ...
"," : EVLC-
EV101.3
"," : EV West
",: 0.00,: 0.00
Services,"  Performance Specification &
Review
Bring your EV by for a free review
of your perform ...
"," : Free
Consult
"," : EV West
",: 0.00,: 0.00
Services,"  Technical Support & Counseling -
15 Minutes
Building your own EV and need
that little extra su ...
"," : Support
"," : EV West
",: 0.00,: 0.00
Services,"  Vehicle Wheel Scales, Corner
Balancing
Come get your vehicle Corner
balanced with our sta ...
"," :
"," : EV West
",: 0.00,: 0.00
Used_Components,"  2 Pole T yco High V oltage
Receptacle Connector and Cable
Plug from Electric Smart Car
These Two Pole Tyco connectors
were used in a 330V ...
"," : SC-HVC
"," : Tyco Kilovac
",: 5.00,: 5.00
Used_Components,"  200 Amp 50 mV Shunt from
Electric Smart Car
This 200 Amp 50 MV commercial
shunt by Empro has l ...
"," : SC-SHUNT
"," : Empro
Shunts
",: 0.00,: 0.00
Used_Components,"  In-line Fluid Heater from Electric
Smart Car
This used Calix in-line water
heater is Swedish ma ...
"," : SC-WH
"," : Smart
",: 1.00,: 1.00
Used_Components,"  Precharge Resistor from T esla and
Electric Smart Car
These precharge resistors are
made by RARA, a high ...
"," : SC-PCR
"," : Tesla
",: 0.00,: 0.00
Used_Components,  Tesla ," S Lithium Ion Battery
18650 EV Module - 22.8 V olt, 5.3
kWh
These used 18650 Tesla battery
modules from a 85kW ...
"," : Tesla
",: 55.00,: 55.00
Used_Components,"  Used 1500W Electric V ehicle
Heater , Ceramic PTC Element -
From Electric Smart Car
This ceramic PTC electric heater
from an OEM proto ...
"," : SC-HE
"," : Behr
",: 3.00,: 3.00
Used_Components,"  Used Inertia Switch from Electric
Smart Car
This USED 360 degree crash
sensor can directly shu ...
"," : SC-
INER TIA
"," :
",: 1.00,: 1.00
Used_Components,"  Used Radiator Fan from Electric
Smart Car
This Behr fan is from the radiator
assembly of a S ...
"," : SC-F AN
"," : Smart
",: 3.00,: 3.00
Used_Components,"  Used Radiator from Electric Smart
Car
This Behr radiator was in a
cooling system with a ...
"," : SC-RAD
"," : Smart
",: 4.00,: 4.00
Used_Components,"  Used Throttle Pedal with Plug -
From Electric Smart Car
These Used Smart FourTwo
pedals create acceleratio ...
"," : SC-PED
"," : Smart
",: 1.00,: 1.00
Used_Components,"  Used T oyota Prius Throttle Pedal
with Plug 78120-47050
These Standard OE Motor
accelerator pedal sensors ...
"," : Throttle
"," : EV West
",: 2.00,: 2.00
Used_Components,"  Used W ater Pump from Electric
Smart Car
This OEM pump has been used
for less than 5000 mil ...
"," : SC-WP
"," : Smart
",: 3.00,: 3.00
